token;freq
izi;2040
eki;5165
lɑ̃sə;4426
pɔɛ̃;7269
sɛɡ;440
fwa;16732
ɡɥœʀ;2487
nɔʀm;1281
ʀɛk;10070
sɑ̃s;15372
mə̂m;20632
dʀi;2377
katʀ;5944
ɡʀɑmə;3430
pœvɑ̃;5546
ə̂tʀ;19111
tɛn;10761
œ;3969
myl;7789
plje;237
ska;952
kɔ̃kʀɛ;78
tʀɛʀ;2599
evɑ̃;1998
tyl;5797
etɑ̃;8133
dys;9797
pe;47770
ʀjœʀ;10571
list;20649
kɛlk;7019
ʀə̀m;643
swajɛ̃;1176
ə;9098
tʀiz;11634
libʀ;3976
əɡzist;4047
mɔɛ̃;10367
ʀeynjɔ̃;1271
dɥal;92
kɔ̃sɛʀnɑ̃;303
kɔ̃di;2974
tip;5616
nɑ̃tə;1409
ʀəs;21212
mwaʀ;2389
ɔʀ;34995
tit;3553
tel;7343
etɛ;12000
pu;12843
veləʀ;626
sɑ̃bləs;507
blɔk;1013
ʀə̀ɡl;1841
kf;452
kəs;3640
pø;8690
tʀɛ;16335
pʀi;21792
dɥi;10309
fak;2761
kʀibl;21
ʀitm;1506
lɑ̃k;122
zo;3428
sɑ̃ts;4288
dis;33812
tɛ̃k;1869
sibl;7594
kɛʀ;7642
pœ;14533
ɲi;7546
ʀol;4722
vast;1281
ljə̀ʀ;3493
bʀik;930
lwa;8234
evo;5057
ɡʀɑ̃də;9222
i;35564
pɑ̃;32891
dɑ̃t;21835
pləɡz;2014
swa;18641
kɔ̃si;8516
kɔ̃t;6269
niʀ;9511
nis;14480
mɛtɑ̃;2722
mɔ̃;33045
mitɑ̃;103
lit;2484
avə̀ʀɑ̃;38
lɔw;435
syf;3614
fiʀ;1674
ʒəɔʀɡ;351
fʀo;963
bə;10816
njys;373
ʃaʀ;9004
kɛ̃;32395
lɔp;1506
fɔ̃d;1495
tʀjəs;684
bjɛ̃;13207
ʃwa;3875
sjəs;3720
aʀit;286
sjɛʀ;20584
byʀn;279
lybl;190
bʀoʀ;6
ab;9520
kɔ̃stʀɥi;1740
ɛd;2639
ɡl;875
ℂ;29
lə̀bʀ;2091
nom;192
ɛf;14427
laʀ;6122
mal;10992
əmi;527
nɔ;463
ʀjɛ̃;8986
pjəs;352
avə̀ʀ;182
wɛ;254
lɑmə;30
elœʀ;3899
kɔ̃sist;958
ʃak;5455
ʀɛʀ;12619
ɡʀ;4616
tibl;1639
eɡal;936
dʀa;6466
kɔ̃ʒək;158
kyb;646
ɑ̃ɡlə;914
ɡɔn;532
mjal;64
abəl;245
sin;5847
lɛsɑ̃;220
ʀjɑ̃t;235
kle;2734
sabl;3099
vɛ̃sɑ̃;862
blɑ̃;897
lwaj;206
lips;119
mnəɛ̃;1
vɥi;37
inəʀ;127
sil;9052
vəs;2965
baʀ;9824
stə;1627
waʀ;3256
nəaʀ;56
bʀa;3463
wjɛ̃;31
bʀɛz;15
əɡzəʀ;1456
siz;2245
pitʀ;689
tʀɛt;1407
pɔʀt;7276
pɛl;7719
səiɲ;325
kal;17310
diʀ;4359
pʀəs;8686
ʀɑ̃ts;6015
dje;2723
kɔnɛksjɔ̃;434
fɛt;2429
fje;5583
ʒwe;916
eteɛ̃;4788
sɔʀt;1463
vɑ̃ts;2337
kɔ̃dɥi;1699
tʀu;5257
abu;1529
fəs;10240
djo;7941
fɑ̃;5845
sjɛn;10072
ideal;428
kɔny;5640
enɔʀm;350
ʃɑ̃;21436
eməʀ;894
fə;8435
tʀai;2603
ɔf;15118
lisɑ̃;1532
dʀɛw;489
wil;1807
pʀu;1009
njɛʀ;10112
dɑ̃səs;1514
maɡ;657
noid;129
dyl;1725
ʀad;494
eva;2095
ʀist;6568
njɛl;1894
aiɑ̃;5328
fuʀ;3933
ʒœʀ;4133
kɔd;3335
lal;292
ʀit;3169
mik;14816
tɛʃ;7506
kɔ̃sɛ;1708
sys;9444
kʀiʀ;637
mwajɛ̃;5158
aʒ;4217
mɥɛ;157
ʃə;11949
aʀitmɔ́;1
nim;3193
wʀɔ̃;6
datɑ̃;260
ba;46785
kʀivɑ̃;243
mœ̃;3877
pɡkd;6
ljɛ;3654
kabl;1426
ite;110
mɔ̃tʀɑ̃;684
ʃi;24390
mə̀d;407
avwaʀ;7080
abʀe;588
blabl;534
neɛ̃;699
lu;2695
avəʀ;302
ʀɔ̀;31
evɔk;577
af;13769
fin;950
kɔ̃vəʀ;1749
ʒɑ̃sə;2333
kɔ̃fɔʀ;839
ʀu;8451
mwan;3121
ad;322
bat;172
wa;8583
kɑ̃d;2641
dœksjə̀m;3787
kɔ̃sɛp;1705
bukl;323
ʃo;7347
pʀɔʃ;5052
kɥɛjliʀ;510
pjɔ̃;6011
ada;3307
laz;355
fij;2565
ʀɔ̃;20173
tɑ̃tə;6180
bab;218
baʒ;104
ʀea;13436
nul;134
diksjə̀m;247
klə;1268
pɔ̃s;934
kɔ̃tɑ̃;2209
ʀɛn;2595
lism;4689
ʃin;5877
ʀɛ̃ɡ;967
tɑ̃d;1157
dɔnɑ̃;719
fik;15413
ʀɑ̃təs;3966
siv;3496
lə̀l;853
kɑ̃;25739
ljø;9859
ʀjɔd;6859
knyt;47
mɛ̃ɡ;897
kɔ̃tʀi;2301
bɥe;1957
syb;4535
stɑ̃;2653
siɲ;4407
kʀeʀ;1373
plwaje;1399
ʒɛk;4107
enɔ̃s;108
ʃai;356
fɛk;6725
ɡli;996
sism;1725
ɲɛʀ;2786
miz;5960
ɡaʒ;3865
kɔ̃sti;10619
daʒ;1191
paʀl;1294
suʀs;5852
tyɑ̃;2595
tele;571
tʀak;1808
kɥi;2947
dwa;6328
ʀjɛ̃s;1670
mɛl;2669
evi;2102
dɑ̃sə;10051
kɔ̃tʀol;2594
tyd;4572
plaz;8613
pləɡzi;406
wiʀt;40
sjɛnɑ̃;1458
kɑ̃səs;1410
kɔ̃stɑ̃t;640
ʀjabl;1160
bləo;341
aʀbʀ;966
ɡʀaf;3805
paʒ;2975
lis;4508
sit;9693
dɔ̃k;7002
sɑ̃blɑ̃t;674
ʀaitʀ;990
pɔsɑ̃;1947
tɑ̃ps;10091
